class_1,class_2,pval,rho,n
Introduction to Engineering Projects,Introduction to Ethnic Studies,0.0000022,0.837370443,21
Artificial Intelligence,Linear Algebra,7.96E-08,0.75925675,36
College Writing II,Psychology of Women,0.000000408,0.753860962,33
Differential Equations I,Linear Algebra,2.44E-11,0.751772647,56
Artificial Intelligence,Intermediate Software Engineering,2.45E-09,0.741708991,47
Fitness Assessment and Management,Introduction to Mass Media,0.000000519,0.719615631,37
Introduction to College Life,Music Appreciation,0.000000323,0.714588343,39
Differential Equations I,Statistical Methods with Applications,8.17E-16,0.712392606,94
Artificial Intelligence,Calculus and Analytic Geometry III,0.000000247,0.706350935,41
Linear Algebra,Statistical Methods with Applications,1.8E-17,0.699822356,110
Introduction to College Life,World Civilization II,0.000000128,0.699417593,44
Artificial Intelligence,Principles of Microeconomics,0.000000626,0.689248342,41
Artificial Intelligence,Programming Language Structures,8.42E-10,0.684705423,62
Artificial Intelligence,Statistical Methods with Applications,0.000000828,0.683864545,41
Artificial Intelligence,Object-Oriented Programming and Data Structures II,5.88E-11,0.68188892,71
Differential Equations I,Object-Oriented Programming and Data Structures II,2.31E-12,0.661413089,88
Fitness Assessment and Management,Introduction to American Government,3.96E-09,0.648367563,66
Circuit Modeling I,Object-Oriented Programming and Data Structures I,8.73E-20,0.647466881,155
Calculus and Analytic Geometry II,Precalculus,0.00000156,0.647078349,45
Artificial Intelligence,Object-Oriented Programming and Data Structures I,6.2E-09,0.646014551,65
Calculus and Analytic Geometry II,Differential Equations I,1.51E-10,0.644159007,79
Introduction to Marketing,Object Oriented Analysis and Design,0.00000193,0.631580198,47
Linear Algebra,Object-Oriented Programming and Data Structures II,1.49E-14,0.624656231,122
Discrete Mathematics,Object-Oriented Programming and Data Structures II,1.51E-32,0.621133301,292
Intermediate Software Engineering,Object Oriented Analysis and Design,8.31E-23,0.619604432,202
Discrete Mathematics,General Physics II,4.52E-17,0.616492448,150
Object-Oriented Programming and Data Structures II,Programming Language Structures,6.32E-29,0.615584841,264
Calculus and Analytic Geometry III,Differential Equations I,1.69E-11,0.614504159,98
Data Communications and Computer Networks,Linear Algebra,9.71E-14,0.611164766,121
Concepts of Biology,General Psychology,0.000000359,0.610580135,58
Computer Architecture/Operating Systems,Intermediate Software Engineering,8.16E-22,0.60810325,202
Calculus and Analytic Geometry II,Object-Oriented Programming and Data Structures II,2.45E-19,0.607516715,178
Database Design and Implementation,Object Oriented Analysis and Design,1.14E-26,0.607094768,251
Artificial Intelligence,Discrete Mathematics,3.22E-08,0.606988459,69
Object Oriented Analysis and Design,Statistical Methods with Applications,1.24E-17,0.603273769,164
Linear Algebra,Software Quality,2.75E-11,0.602058323,101
Introduction to Marketing,Principles of Macroeconomics,4.77E-14,0.601500847,129
Intermediate Software Engineering,Statistical Methods with Applications,2.26E-16,0.600657582,153
Real-Time Embedded Systems Programming,Software Engineering Project I,5.62E-15,0.600400189,139
Data Communications and Computer Networks,Object-Oriented Programming and Data Structures II,1.11E-31,0.599867331,310
Computer Architecture/Operating Systems,Object-Oriented Programming and Data Structures II,2.47E-30,0.598401731,298
Calculus and Analytic Geometry III,Discrete Mathematics,9.28E-19,0.596924605,180
Object Oriented Analysis and Design,Software Quality,1.04E-19,0.596708829,190
Data Communications and Computer Networks,Object Oriented Analysis and Design,8.41E-29,0.596044443,285
Introduction to Software Engineering,Object-Oriented Programming and Data Structures I,2.89E-33,0.595681908,332
College Algebra,Trigonometry and Analytic Geometry,1.14E-08,0.595145134,77
Real-Time Embedded Systems Programming,Statistical Methods with Applications,1.82E-14,0.594720839,137
Database Design and Implementation,Linear Algebra,1.35E-10,0.589632621,99
