id,first term gpa,first term standing,second term gpa,second term standing,graduated
16,2.914285714,1,2.7,1,1
43,2.7125,1,2.24,1,1
68,2.533333333,1,2.25,1,1
134,3.4,1,2.766666667,1,1
153,3.75,1,3.4,1,1
160,2.5,2,2.5,2,0
177,3.764705882,1,3.764705882,1,1
192,3.76,1,3.828571429,1,1
211,2.883333333,1,2.75,1,1
229,4,1,4,1,1
300,3.206666667,1,2.1,1,1
330,4,4,4,4,1
348,2.8,1,2.766666667,1,1
437,2.206666667,1,2.442857143,1,1
448,0.885714286,2,0.307692308,2,0
515,3,1,3.5,1,1
528,1.8,2,0.8,2,0
619,3.7,1,3.6,1,1
713,3.214285714,1,2.3125,1,1
735,0.74,2,0.825,2,0
816,0.214285714,2,2.214285714,2,0
1078,3.571428571,1,3.461538462,1,1
1103,4,1,3.75,1,1
1183,2.533333333,1,2.076923077,1,1
1186,1.35,3,1.75,3,1
1199,2.052631579,1,2.5,1,1
1225,1.816666667,1,2.178947368,1,1
1326,0,2,0,2,0
1345,3.857142857,1,3.352941176,1,1
1423,1.825,1,0.992307692,2,1
1496,3.373333333,1,3.253333333,1,1
1576,1.417647059,2,0.285714286,2,0
1579,2.666666667,1,1.866666667,1,1
1604,2.886666667,1,2.726666667,1,1
1614,3.466666667,1,3.066666667,1,1
1617,2.442857143,2,0.425,2,0
1775,3,1,2.470588235,1,1
1857,2.9125,1,2.70625,1,1
1891,2.266666667,2,3.076923077,2,0
1904,2.882352941,1,2.8,1,1
1930,3.1,1,2.766666667,1,1
1939,0.214285714,2,0,2,0
1954,3.69375,1,3.65,1,1
1999,3.406666667,1,3.69375,1,1
2018,2.263157895,2,2.9,2,0
2046,0.8125,2,1.357142857,2,0
2097,3.08,1,2.60625,1,1
2115,3.066666667,1,3.123076923,1,1
2125,3.60625,1,2.493333333,1,1
2145,1.741666667,1,1.933333333,2,1
2181,0.857142857,2,0,2,0
2208,2.253333333,1,3.064285714,1,1
2210,3.8125,1,3.92,1,1
2270,2.993333333,1,2.9,1,1
2307,3.85,4,2,1,1
2334,1.5,2,1.625,2,0
2358,2.18,1,3.18,1,1
2405,1.944444444,1,2.6,1,1
2432,0.769230769,2,0.8,2,0
2433,3.066666667,1,2.875,1,1
2448,3.28125,1,3.05,1,1
2450,3,1,2.5,1,1
2474,3.545454545,1,3.727272727,1,1
2545,3.466666667,1,3.058823529,1,1
2579,3.005882353,1,3.215384615,1,1
2669,3.576470588,1,3.61875,1,1
2676,2.769230769,1,3,1,1
2694,3.375,1,3,1,1
2738,1.75,3,3.146153846,1,1
2748,2.2375,1,2.883333333,1,1
2780,2.823529412,1,2.647058824,1,1
2828,3.8,1,3.6875,1,1
2966,3.673333333,1,3.146666667,1,1
2971,0.5625,2,3.407142857,1,1
2993,3.642857143,1,2.964285714,1,1
3014,2.673333333,1,3.682352941,1,1
3075,3.2,2,1.785714286,2,0
3092,2.833333333,1,2.666666667,1,1
3107,1,2,0,2,0
3157,3.5,1,3.823529412,1,1
3218,2.7,1,2.515384615,1,1
3226,2,2,0.166666667,2,0
3313,1.352941176,3,1.571428571,1,1
3334,3.333333333,1,3.625,1,1
3337,3.26875,1,2.26875,1,1
3366,1.615384615,1,0.5,2,1
3424,2.8,1,3.042857143,1,1
3460,2.326666667,2,0.425,2,0
3557,0.43125,2,0,2,0
3605,3.4,1,3.533333333,1,1
3680,3.925,1,3.83125,1,1
3752,2.4,1,1.384615385,1,1
3787,3.7375,1,3.65625,1,1
3801,3.4375,1,3.133333333,1,1
3856,2.533333333,1,1.466666667,1,1
3895,3.75625,1,3.6,1,1
3908,4,1,4,1,1
3910,3.4375,1,3.547058824,1,1
3912,3.428571429,1,2.8,1,1
4045,2.875,1,3.285714286,1,1
4116,3.2,1,2.823529412,1,1
4133,2.925,1,3.335714286,1,1
4193,2.4375,1,2.323529412,1,1
4259,0.375,2,0,2,0
4260,4,1,4,1,1
4318,0.083333333,2,0.428571429,2,0
4368,2.25,1,2.25625,1,1
4392,3.764705882,1,3.358823529,1,1
4440,1.9625,1,2.086666667,1,1
4483,2.333333333,1,1.75,1,1
4522,3.535294118,1,3.2,1,1
4547,1.88125,2,1.005555556,2,0
4641,3.466666667,1,2.9375,1,1
4779,3.176470588,1,2.352941176,1,1
4796,0.2,2,0,2,0
4814,3.275,1,3.570588235,1,1
4864,3.066666667,1,1.813333333,1,1
4992,3.583333333,1,2.5,1,1
4995,2.6625,1,1.76875,1,1
5023,3.416666667,1,3.4625,1,1
5077,3.5625,1,3.5625,1,1
5091,3.9,1,3.78,1,1
5142,2.933333333,1,2.875,1,1
5278,1.733333333,2,2.914285714,2,0
5299,3.466666667,1,3.466666667,1,1
5341,3.357142857,1,2.866666667,1,1
5349,0.615384615,2,1.558333333,2,0
5357,3.006666667,1,3,1,1
5370,1.733333333,1,2.5,1,1
5435,3.076923077,1,2.875,1,1
5498,2.9125,1,3.594117647,1,1
5563,2.625,1,2.29375,1,1
5611,1.933333333,1,2.071428571,1,1
5629,3.1375,1,3.227777778,1,1
5676,1.214285714,2,2.333333333,2,0
5726,3.925,1,4,1,1
5734,3.185714286,1,3.227777778,1,1
5795,2.857142857,2,1.607142857,2,0
5822,3.176470588,1,1,1,1
6009,3.0625,1,2.4,1,1
6070,1.023076923,2,0.153846154,2,0
6139,2.471428571,2,2.384615385,2,0
6144,3.094117647,1,3.194117647,1,1
6145,3.73125,1,3.041176471,1,1
6166,3.066666667,1,3.129411765,1,1
6205,3.170588235,1,3.111764706,1,1
6208,2.3125,1,2.346666667,1,1
6304,2.946666667,1,2.882352941,1,1
6332,1.278571429,3,3.092307692,1,1
6367,2.388235294,2,1.606666667,2,0
6368,1.75,1,1.5,3,1
6379,2.066666667,1,1.428571429,3,1
6388,2.773333333,1,2.947058824,1,1
6417,2.742857143,1,3.216666667,1,1
6449,2.153846154,1,3,1,1
6463,0.625,2,2.666666667,2,0
6464,3.071428571,1,2.842105263,1,1
6577,3.361111111,1,3.423529412,1,1
6597,3.38,1,3.715384615,1,1
6681,1.413333333,2,0.9,2,0
6730,1.285714286,3,2.642857143,1,1
6750,2.4,1,2.214285714,1,1
6764,3.182352941,1,3.7375,1,1
6784,2.44375,2,0.815384615,2,0
6788,2.214285714,2,1.6,2,0
6823,3.333333333,1,3.066666667,1,1
